sample,encoder,seed,split_axis,split_side,ratio,model,gene_set,n_train,n_test,n_genes,pearson_gene_macro,spearman_gene_macro,r2_gene_macro,rmse_log1p,mae_log1p,pearson_cell_macro,sensitivity_gene_macro,specificity_gene_macro,balanced_accuracy_gene_macro,f1_gene_macro,auprc_gene_macro,species,organ,condition
FFHO026,conch,1,y,high,0.25,train_mean,top200_hvg,2262,2400,200,1.1617970459010253e-07,,-0.0052115899414093,0.5673072338104248,0.4406777024269104,0.5207022906003819,0.35,0.65,0.5,0.254225677320093,0.3853166666666666,human,ovary,ovarian adenocarcinoma
FFHO026,conch,1,y,high,0.25,train_mean,marker_hvg_overlap,2262,2400,193,1.6567510983606758e-07,,-0.0053096310251732,0.5720550417900085,0.4451830685138702,0.5208238896479326,0.3575129533678756,0.6424870466321243,0.5,0.2600795152045738,0.3900302245250432,human,ovary,ovarian adenocarcinoma
FFHO026,conch,1,y,high,0.25,coordinate,top50_hvg,2262,2400,50,0.083462928221561,0.0717636441629881,-0.0145595486610545,0.7986845970153809,0.6529034972190857,0.4898616924036766,0.918647301208095,0.0974220990525215,0.5080347001303083,0.7157759690286134,0.6189617304454876,human,ovary,ovarian adenocarcinoma
FFHO026,conch,1,y,high,0.25,coordinate,top200_hvg,2262,2400,200,0.0708845372629002,0.063783486220165,-0.0137529984705361,0.568127453327179,0.4470801651477813,0.5259948762136444,0.3916876491407326,0.6253225478939651,0.5085050985173489,0.301485796403808,0.4051995018498266,human,ovary,ovarian adenocarcinoma
FFHO026,conch,1,y,high,0.25,coordinate,marker_hvg_overlap,2262,2400,193,0.0715387197192685,0.0645144016537461,-0.0137797872050657,0.572844922542572,0.4515964388847351,0.5262824286328335,0.3988308937450655,0.6183425476479611,0.5085867206965133,0.3072236757679647,0.409726075654555,human,ovary,ovarian adenocarcinoma
FFHO026,conch,1,y,high,0.25,image,top50_hvg,2262,2400,50,0.3928526863455772,0.389360072994833,0.1530850058887153,0.7205168604850769,0.569783091545105,0.5460567464067303,0.8741983877704471,0.3229935577911852,0.5985959727808162,0.755745503042185,0.7486633612543541,human,ovary,ovarian adenocarcinoma
FFHO026,conch,1,y,high,0.25,image,top200_hvg,2262,2400,200,0.2620609407126903,0.2560324390548124,0.0621784441067779,0.5337046384811401,0.4058893024921417,0.5460170171003105,0.4539711002585867,0.6816383403101355,0.5678047202843611,0.4308968408477877,0.4983336102356815,human,ovary,ovarian adenocarcinoma
FFHO026,conch,1,y,high,0.25,image,marker_hvg_overlap,2262,2400,193,0.2642477884734233,0.2580957426068733,0.0636361308547324,0.5377261638641357,0.4095338582992553,0.5471195924171375,0.4625370963670524,0.6748392765976338,0.5686881864823431,0.4383129221449821,0.5037392501568948,human,ovary,ovarian adenocarcinoma
FFHO026,conch,1,y,high,0.25,spatial_knn,top50_hvg,2262,2400,50,0.1238545818079728,0.1194164925388292,-0.0644146769680082,0.8159179091453552,0.6497562527656555,0.4586284773877161,0.8168569389000443,0.2247770855905214,0.5208170122452829,0.7041014457208423,0.6469912929731885,human,ovary,ovarian adenocarcinoma
FFHO026,conch,1,y,high,0.25,spatial_knn,top200_hvg,2262,2400,200,0.0758069496360258,0.0721988761161411,-0.082552464135806,0.5847394466400146,0.4356985092163086,0.4872269735167941,0.3775361637535342,0.6573168465981556,0.517426505175845,0.3614868761334401,0.4134881616971346,human,ovary,ovarian adenocarcinoma
FFHO026,conch,1,y,high,0.25,spatial_knn,marker_hvg_overlap,2262,2400,193,0.0758642059804538,0.0719645091638841,-0.0830565774011054,0.5896059274673462,0.4407227039337158,0.4874377518382807,0.3872853917113777,0.6485236389828282,0.517904515347103,0.3698699649510416,0.41831054827872,human,ovary,ovarian adenocarcinoma
FFHO026,conch,1,y,high,1.0,train_mean,top50_hvg,9048,2400,50,-7.855905026588061e-07,,-0.0071252727815408,0.798557698726654,0.651563823223114,0.4777951346246027,0.96,0.04,0.5,0.7222672923254275,0.6054,human,ovary,ovarian adenocarcinoma
FFHO026,conch,1,y,high,1.0,train_mean,top200_hvg,9048,2400,200,-2.659892601997171e-07,,-0.0046680182155421,0.567165732383728,0.4419833719730377,0.5208570160542981,0.355,0.645,0.5,0.2573606887617407,0.3853166666666666,human,ovary,ovarian adenocarcinoma
FFHO026,conch,1,y,high,1.0,train_mean,marker_hvg_overlap,9048,2400,193,-3.182493273725225e-07,,-0.0047378119639686,0.5719088315963745,0.4465004205703735,0.520980270858226,0.3626943005181347,0.6373056994818653,0.5,0.2633282317244159,0.3900302245250432,human,ovary,ovarian adenocarcinoma
FFHO026,conch,1,y,high,1.0,coordinate,top50_hvg,9048,2400,50,0.0995811223122291,0.0847664820236568,0.0018386820657178,0.7930709719657898,0.6486403942108154,0.501909647288939,0.9193836187978376,0.1009657564309172,0.5101746876143773,0.7218748493071536,0.6251230673090374,human,ovary,ovarian adenocarcinoma
FFHO026,conch,1,y,high,1.0,coordinate,top200_hvg,9048,2400,200,0.0839752412244308,0.0751423187068796,-0.0009953330366738,0.5646443963050842,0.4455541372299194,0.5338396881025854,0.3957620305805839,0.6199131318045317,0.5078375811925577,0.3034607454089473,0.409488739182251,human,ovary,ovarian adenocarcinoma
FFHO026,conch,1,y,high,1.0,coordinate,marker_hvg_overlap,9048,2400,193,0.0846921165680391,0.0756865368395818,-0.000765803870339,0.5693114995956421,0.4497280418872833,0.5341572896918241,0.4049347467156309,0.6113089448751623,0.5081218457953967,0.3111003111515731,0.4141776562465419,human,ovary,ovarian adenocarcinoma
FFHO026,conch,1,y,high,1.0,image,top50_hvg,9048,2400,50,0.4220003944635391,0.4171065480429289,0.1868228966742754,0.7054345011711121,0.558368980884552,0.567282031843748,0.8891732077817509,0.3183032308820382,0.6037382193318946,0.7626526409953496,0.7604828442899282,human,ovary,ovarian adenocarcinoma
FFHO026,conch,1,y,high,1.0,image,top200_hvg,9048,2400,200,0.2986750010028481,0.2914256180566348,0.0973123048245906,0.5232744216918945,0.3980746567249298,0.5674795237768562,0.441322980543266,0.6991893106340197,0.5702561455886429,0.4145430496095026,0.5181179986227737,human,ovary,ovarian adenocarcinoma
FFHO026,conch,1,y,high,1.0,image,marker_hvg_overlap,9048,2400,193,0.3009034677413461,0.2933625660322118,0.0987878330196664,0.5271787047386169,0.4017640054225921,0.5685040391362765,0.4510956440833192,0.6918719026442277,0.5714837733637735,0.4231061943396336,0.5235635180510447,human,ovary,ovarian adenocarcinoma
FFHO026,conch,1,y,high,1.0,spatial_knn,top50_hvg,9048,2400,50,0.1154162050969898,0.1187391663621393,-0.1085983257181942,0.833816409111023,0.6583428978919983,0.4508010231846847,0.783528885366292,0.2785945566740537,0.5310617210201728,0.6952203214232727,0.643702545080179,human,ovary,ovarian adenocarcinoma
FFHO026,conch,1,y,high,1.0,spatial_knn,top200_hvg,9048,2400,200,0.0727839351224247,0.0726051481993951,-0.104202821967192,0.5929535031318665,0.4380324482917785,0.483542520343511,0.3836999890272076,0.6568745628643526,0.5202872759457802,0.3735092374561081,0.4122172997552046,human,ovary,ovarian adenocarcinoma
FFHO026,conch,1,y,high,1.0,spatial_knn,marker_hvg_overlap,9048,2400,193,0.0726296364491409,0.0727948069621919,-0.1047967337892231,0.597942590713501,0.4431188702583313,0.4838502367717708,0.3918529091799273,0.6491208552073288,0.520486882193628,0.3803558769636047,0.4167600621462524,human,ovary,ovarian adenocarcinoma
FFHO026,conch,2,x,low,0.1,train_mean,top50_hvg,891,2400,50,-1.4604195825995704e-07,,-0.0870092751180709,0.8067779541015625,0.6516098380088806,0.4099392650702603,0.94,0.06,0.5,0.6947522604162747,0.5892000000000001,human,ovary,ovarian adenocarcinoma
FFHO026,conch,2,x,low,0.1,train_mean,top200_hvg,891,2400,200,-5.275241996471891e-07,,-0.0483213121142671,0.557807207107544,0.4350934624671936,0.4931842987283572,0.37,0.63,0.5,0.2579290099540797,0.3613854166666667,human,ovary,ovarian adenocarcinoma
