sample,species,organ,condition,model,pearson_gene_macro,spearman_gene_macro,f1_gene_macro,auprc_gene_macro,n_genes
HBCD036,human,brain,glioblastoma,coordinate,0.0161351285478184,0.01410113832587595,0.23204599733063605,0.30726072987040565,188.75
HBCD036,human,brain,glioblastoma,image,0.19350693951420952,0.16346179795643986,0.29071566882337324,0.37450130707116064,188.75
HBCD036,human,brain,glioblastoma,spatial_knn,0.0214715150880423,0.01950866530152215,0.25574300705929415,0.3089039145013922,188.75
HBCD036,human,brain,glioblastoma,train_mean,9.042109320296196e-08,,0.211445528035168,0.30181859251285226,188.75
HBCH024,human,breast,breast cancer,coordinate,0.04345029212354577,0.040350881312184596,0.000542854382615,0.04524535689489807,195.0
HBCH024,human,breast,breast cancer,image,0.15968876921456865,0.13046146790845126,0.018390629032975725,0.11018294952483132,195.0
HBCH024,human,breast,breast cancer,spatial_knn,0.0210334201791489,0.019539232594773102,0.009976556665752624,0.0375534884300272,195.0
HBCH024,human,breast,breast cancer,train_mean,-4.846795508795073e-08,,0.0,0.030969017094017053,195.0
HBES040,human,breast,breast IDC,coordinate,0.025855323294231923,0.022456599266987124,0.1633463211457627,0.2632817876718786,181.75
HBES040,human,breast,breast IDC,image,0.24594197372100374,0.23652132691762032,0.2453255674739122,0.36576135861924275,181.75
HBES040,human,breast,breast IDC,spatial_knn,0.02118675926924815,0.0195702250111058,0.21008688671398895,0.25998545842701826,181.75
HBES040,human,breast,breast IDC,train_mean,1.1286875269043957e-07,,0.12187296237245837,0.2502451151518831,181.75
HCCD035,human,colorectal,colorectal cancer,coordinate,0.028214192714389925,0.026360468303993474,0.1286058420855188,0.22934704035621467,180.25
HCCD035,human,colorectal,colorectal cancer,image,0.2660920753019308,0.24899108587148192,0.2228441747879779,0.3425025216882984,180.25
HCCD035,human,colorectal,colorectal cancer,spatial_knn,0.0382475782644266,0.038861990717077,0.18438017768131815,0.22940963400275552,180.25
HCCD035,human,colorectal,colorectal cancer,train_mean,1.0186595266773511e-07,,0.101309321285193,0.2113472414057704,180.25
HCCW027,human,cervix,cervical cancer,coordinate,0.011958745757215151,0.012758306343678149,0.000652367054354475,0.039852951276383525,162.75
HCCW027,human,cervix,cervical cancer,image,0.0985317954672856,0.08966575136435007,0.007548584812191625,0.073984690919756,162.75
