sample,encoder,seed,split_axis,split_side,model,gene_set,n_train_cells,n_test_cells,coordinate_units_per_micron,n_genes,pearson_gene_macro,spearman_gene_macro,r2_gene_macro,rmse_log1p,mae_log1p,pearson_cell_macro,sensitivity_gene_macro,specificity_gene_macro,balanced_accuracy_gene_macro,f1_gene_macro,auprc_gene_macro
FFMB028,conch,2,x,low,pseudo_spot_8um,top200_hvg,9008,2400,4.705882,200,0.3525497149862349,0.3520560896215097,0.116763814544538,0.4866351783275604,0.3825304508209228,0.5267916909195826,0.5118290662725691,0.6947539270029168,0.603291496637743,0.4888982209268552,0.55277165376185
FFMB028,conch,2,x,low,pseudo_spot_16um,top50_hvg,9008,2400,4.705882,50,0.4774518492817878,0.4790929499627079,0.2121607315540313,0.6375522613525391,0.5141170620918274,0.5483127075335842,0.8811781687579721,0.3370191026106958,0.609098635684334,0.7509150800618624,0.7748119018025509
FFMB028,conch,2,x,low,pseudo_spot_16um,top200_hvg,9008,2400,4.705882,200,0.3455144518986344,0.345285547850402,0.1100193451596715,0.488982230424881,0.3852519392967224,0.5256945920742737,0.516684769334449,0.6859746669363102,0.6013297181353796,0.4892501452296962,0.5484849194966839
FFMB028,conch,2,x,low,pseudo_spot_55um,top50_hvg,9008,2400,4.705882,50,0.380792850703001,0.3807226158861648,0.133498852904886,0.6760346293449402,0.549048125743866,0.5379774920639954,0.8855421816755568,0.2818529980236106,0.5836975898495836,0.7398198012984587,0.7353966959880108
FFMB028,conch,2,x,low,pseudo_spot_55um,top200_hvg,9008,2400,4.705882,200,0.2634768027439713,0.2638931668722568,0.0584295646914142,0.5095585584640503,0.4032066464424133,0.5165086369313827,0.4645816117886728,0.6752349225117166,0.5699082671501947,0.4329414663516152,0.5039478413963275
FFMB028,conch,3,y,low,cell_image,top50_hvg,8889,2400,4.705882,50,0.4653734424710273,0.4621638910985077,0.1867936764913611,0.6331378221511841,0.5060390830039978,0.5025283075054957,0.8132773022490796,0.4408902811225842,0.627083791685832,0.7200468682186165,0.7530974400044051
FFMB028,conch,3,y,low,cell_image,top200_hvg,8889,2400,4.705882,200,0.3406557413563132,0.3336345207765028,0.1059419709077337,0.4859474301338196,0.3752982318401336,0.4787762299846264,0.4351086869305792,0.758400170855735,0.596754428893157,0.4461429747046772,0.5424392921794082
FFMB028,conch,3,y,low,train_mean,top50_hvg,8889,2400,4.705882,50,-7.367816273529115e-08,,-0.0404410034282955,0.7302535176277161,0.6123189926147461,0.4510456615284081,0.92,0.08,0.5,0.6640888850308684,0.5499166666666667
FFMB028,conch,3,y,low,train_mean,top200_hvg,8889,2400,4.705882,200,3.490074852052771e-07,,-0.0195013548150927,0.5339303016662598,0.4307046234607696,0.4474640435566182,0.29,0.71,0.5,0.2039414568032305,0.3687291666666666
FFMB028,conch,3,y,low,pseudo_spot_8um,top50_hvg,8889,2400,4.705882,50,0.464564990401268,0.4616495080355859,0.1855924006737768,0.6334813833236694,0.5064600110054016,0.5029145908674947,0.8150419167010661,0.4393297838440741,0.62718585027257,0.7205968631084844,0.7527797114731549
FFMB028,conch,3,y,low,pseudo_spot_8um,top200_hvg,8889,2400,4.705882,200,0.3401777927204966,0.3332955154973348,0.1054292263067327,0.486075609922409,0.3757553994655609,0.4789019991824173,0.4385651956848534,0.7559242633744381,0.5972447295296458,0.4484254274635024,0.5420825340263985
FFMB028,conch,3,y,low,pseudo_spot_16um,top50_hvg,8889,2400,4.705882,50,0.4562971532344818,0.4531240515205579,0.1774436218230403,0.6369710564613342,0.5099523663520813,0.5015041535725869,0.8174688808211517,0.4297454964559519,0.6236071886385518,0.7196217683891248,0.7492650925927649
FFMB028,conch,3,y,low,pseudo_spot_16um,top200_hvg,8889,2400,4.705882,200,0.3334562142938375,0.3262239639474734,0.1003246388638945,0.4878606498241424,0.3777087330818176,0.4778585273037828,0.4381765337015113,0.7515895419503513,0.5948830378259313,0.4460471762414477,0.5380573266160336
FFMB028,conch,3,y,low,pseudo_spot_55um,top50_hvg,8889,2400,4.705882,50,0.3447239862382412,0.3461864683451158,0.081407739133574,0.678182065486908,0.5481640100479126,0.4852551088074903,0.8231828789611099,0.3555177958808193,0.5893503374209645,0.702394342300138,0.6973553257444428
FFMB028,conch,3,y,low,pseudo_spot_55um,top200_hvg,8889,2400,4.705882,200,0.240504641700536,0.2376218049406744,0.0386513986144564,0.5095371603965759,0.3985951840877533,0.4642997546065536,0.3916036566451869,0.7304971920431872,0.5610504243441871,0.3846249201460485,0.48407829698448
HLCX022,conch,0,x,high,cell_image,top50_hvg,8488,2400,4.705882,50,0.3826245594024658,0.3663659190610827,0.1546447081732913,0.4379621744155884,0.2993293702602386,0.3921609539646967,0.3293550699788048,0.9011990905572752,0.61527708026804,0.3530077977620076,0.4787021425077107
HLCX022,conch,0,x,high,cell_image,top200_hvg,8488,2400,4.705882,200,0.2340511227585375,0.2195702922584282,0.0542575212869996,0.3163368701934814,0.1711944043636322,0.406440542444792,0.0874290462090448,0.9747917453441384,0.5311103957765915,0.0961314480148906,0.2573131109856013
HLCX022,conch,0,x,high,train_mean,top50_hvg,8488,2400,4.705882,50,2.047821953189671e-07,,-0.02945630660397,0.5090382695198059,0.3890607357025146,0.1754530504954281,0.18,0.82,0.5,0.0959404158605177,0.2391666666666666
HLCX022,conch,0,x,high,train_mean,top200_hvg,8488,2400,4.705882,200,8.299807680385999e-08,,-0.0154950209990113,0.3468276560306549,0.1969341486692428,0.2503863974379921,0.045,0.955,0.5,0.0239851039651294,0.12676875
HLCX022,conch,0,x,high,pseudo_spot_8um,top50_hvg,8488,2400,4.705882,50,0.3826834793388843,0.3665106606911099,0.1548610654938966,0.4377807676792145,0.2997159957885742,0.3920024625539222,0.3317968973145159,0.9001340111899294,0.6159654542522226,0.3550443675351609,0.4786928048687293
