encoder,species,organ,target,train_samples,seed,ratio,model,gene_set,n_train,n_test,n_shared_genes,n_genes,pearson_gene_macro,spearman_gene_macro,r2_gene_macro,rmse_log1p,mae_log1p,pearson_cell_macro,sensitivity_gene_macro,specificity_gene_macro,balanced_accuracy_gene_macro,f1_gene_macro,auprc_gene_macro,contrast
conch,human,skin,HSPD012,HSDX009;HSDX009_2,0,0.25,train_mean,top200_hvg,6000,12000,166,129,2.009256439278866e-07,,-0.0831019353123611,0.3442816734313965,0.1249879151582717,0.1495287454159378,0.0,1.0,0.5,0.0,0.1054246666666666,normal_to_melanoma_addon
conch,human,skin,HSPD012,HSDX009;HSDX009_2,0,0.25,train_mean,marker_hvg_overlap,6000,12000,166,103,2.359538562809018e-07,,-0.0969452191553871,0.3788217902183532,0.1522662341594696,0.1181664041546281,0.0,1.0,0.5,0.0,0.1240477346278317,normal_to_melanoma_addon
conch,human,skin,HSPD012,HSDX009;HSDX009_2,0,1.0,image,top50_hvg,24000,12000,166,50,0.0978751805191859,0.081250584127746,-0.138860645290697,0.4131621420383453,0.2131644189357757,0.116725302596667,0.0336237727238377,0.9857724943539452,0.5096981335388915,0.0376840470034942,0.1982310024533803,normal_to_melanoma_addon
conch,human,skin,HSPD012,HSDX009;HSDX009_2,0,1.0,image,top200_hvg,24000,12000,166,129,0.0767939192885533,0.0701109674980752,-0.0979242587301414,0.3448900282382965,0.134879469871521,0.1436536408568823,0.0134495090895351,0.9944854629278856,0.5038792534155566,0.0150736188013976,0.146247225628298,normal_to_melanoma_addon
conch,human,skin,HSPD012,HSDX009;HSDX009_2,0,1.0,image,marker_hvg_overlap,24000,12000,166,103,0.0950563139326246,0.0870486189468513,-0.1102146987469292,0.3795048892498016,0.1644355654716491,0.1169012429019192,0.0163222197688532,0.9930934438611384,0.5047078318149959,0.0182932267007253,0.1738247532651467,normal_to_melanoma_addon
conch,human,skin,HSPD012,HSDX009;HSDX009_2,0,1.0,train_mean,top50_hvg,24000,12000,166,50,-5.246716354179171e-07,,-0.0891264260048046,0.4083034098148346,0.1948355883359909,0.1345991687187517,0.0,1.0,0.5,0.0,0.1393533333333333,normal_to_melanoma_addon
conch,human,skin,HSPD012,HSDX009;HSDX009_2,0,1.0,train_mean,top200_hvg,24000,12000,166,129,-6.789342330648652e-08,,-0.0835197649304595,0.3445196449756622,0.1246500834822654,0.1471976990495606,0.0,1.0,0.5,0.0,0.1054246666666666,normal_to_melanoma_addon
conch,human,skin,HSPD012,HSDX009;HSDX009_2,0,1.0,train_mean,marker_hvg_overlap,24000,12000,166,103,-6.035988554714598e-09,,-0.0975037191275757,0.3790990710258484,0.1518479287624359,0.1157991952119499,0.0,1.0,0.5,0.0,0.1240477346278317,normal_to_melanoma_addon
conch,human,skin,HSPD012,HSDX009;HSDX009_2,1,0.1,image,top50_hvg,2400,12000,166,50,0.0690136086066922,0.0547132137978883,-0.2139134367369115,0.4226553738117218,0.2206522971391677,0.0580765058639206,0.0423532049259578,0.974137030559505,0.5082451177427313,0.0403757115818702,0.1800543962240012,normal_to_melanoma_addon
conch,human,skin,HSPD012,HSDX009;HSDX009_2,1,0.1,image,top200_hvg,2400,12000,166,129,0.064401243848503,0.0585123232995096,-0.1394587860113242,0.3492782413959503,0.1403757333755493,0.1046814878649523,0.0169412819703831,0.9899755932401182,0.5032980470970926,0.0161502846327481,0.1340403823026502,normal_to_melanoma_addon
conch,human,skin,HSPD012,HSDX009;HSDX009_2,1,0.1,image,marker_hvg_overlap,2400,12000,166,103,0.0694255129791617,0.0635966229643605,-0.1536016671404635,0.3844258189201355,0.1712044179439544,0.0799996384447934,0.0205598082164843,0.9874451604657792,0.5040024843411317,0.0195998599911991,0.1596527867716683,normal_to_melanoma_addon
conch,human,skin,HSPD012,HSDX009;HSDX009_2,1,0.1,train_mean,top50_hvg,2400,12000,166,50,-2.201978946914096e-07,,-0.0899710761965252,0.4084163904190063,0.1947450935840606,0.1331181108637153,0.0,1.0,0.5,0.0,0.1393533333333333,normal_to_melanoma_addon
conch,human,skin,HSPD012,HSDX009;HSDX009_2,1,0.1,train_mean,top200_hvg,2400,12000,166,129,-4.386192488579711e-07,,-0.0836689075549366,0.344461053609848,0.1246787682175636,0.147936592924011,0.0,1.0,0.5,0.0,0.1054246666666666,normal_to_melanoma_addon
conch,human,skin,HSPD012,HSDX009;HSDX009_2,1,0.1,train_mean,marker_hvg_overlap,2400,12000,166,103,-3.8148930533073627e-07,,-0.097563339536614,0.379050612449646,0.1518781185150146,0.1163655441238265,0.0,1.0,0.5,0.0,0.1240477346278317,normal_to_melanoma_addon
conch,human,skin,HSPD012,HSDX009;HSDX009_2,1,0.25,image,top50_hvg,6000,12000,166,50,0.0675142989866435,0.0546335824565623,-0.186022143443115,0.4190032184123993,0.2225852012634277,0.0866421033430537,0.0376561138554903,0.977415510800022,0.5075358123277561,0.0376546078792751,0.176827949005042,normal_to_melanoma_addon
conch,human,skin,HSPD012,HSDX009;HSDX009_2,1,0.25,image,top200_hvg,6000,12000,166,129,0.05979590928182,0.0542161236705408,-0.1342182041253545,0.3473621010780334,0.1399504840373993,0.1234223794284067,0.0150624455421961,0.9912463220155124,0.5030143249311024,0.01506184315171,0.1334375298319427,normal_to_melanoma_addon
conch,human,skin,HSPD012,HSDX009;HSDX009_2,1,0.25,image,marker_hvg_overlap,6000,12000,166,103,0.0666634717716573,0.0607052442104816,-0.1348625561889279,0.382347822189331,0.1706171333789825,0.095828545881041,0.0182796669201409,0.989036655728166,0.5036581613241535,0.0182789358637258,0.158004605563512,normal_to_melanoma_addon
conch,human,skin,HSPD012,HSDX009;HSDX009_2,1,0.25,train_mean,top50_hvg,6000,12000,166,50,9.206314757648217e-08,,-0.0884374484256841,0.4080189764499664,0.1946179121732711,0.1393114905220424,0.0,1.0,0.5,0.0,0.1393533333333333,normal_to_melanoma_addon
conch,human,skin,HSPD012,HSDX009;HSDX009_2,1,0.25,train_mean,top200_hvg,6000,12000,166,129,1.530724015483627e-07,,-0.0831996723845131,0.3444155156612396,0.1246283277869224,0.1490459242218836,0.0,1.0,0.5,0.0,0.1054246666666666,normal_to_melanoma_addon
conch,human,skin,HSPD012,HSDX009;HSDX009_2,1,0.25,train_mean,marker_hvg_overlap,6000,12000,166,103,9.515037757054619e-08,,-0.0970617142783277,0.3789687752723694,0.1518218517303466,0.1178804428364621,0.0,1.0,0.5,0.0,0.1240477346278317,normal_to_melanoma_addon
conch,human,skin,HSPD012,HSDX009;HSDX009_2,1,1.0,image,top50_hvg,24000,12000,166,50,0.0930476357322186,0.0765885393845489,-0.1455607287504244,0.4142355024814605,0.214406281709671,0.1145061450461744,0.0315261862970434,0.9860380459095146,0.508782116103279,0.0366441627188365,0.1953117451862077,normal_to_melanoma_addon
conch,human,skin,HSPD012,HSDX009;HSDX009_2,1,1.0,image,top200_hvg,24000,12000,166,129,0.0755420861759921,0.0690397362462135,-0.1008503441363573,0.3453381657600403,0.1354160904884338,0.1423419117216837,0.0126104745188173,0.9945883898874086,0.5035128464413116,0.0146576650875346,0.1452195774751409,normal_to_melanoma_addon
conch,human,skin,HSPD012,HSDX009;HSDX009_2,1,1.0,image,marker_hvg_overlap,24000,12000,166,103,0.0937330214492072,0.0859629136945065,-0.1133378632683126,0.3800045549869537,0.1650996804237365,0.1160799220759265,0.0153039739306036,0.9932223523832596,0.5042631631569315,0.0177884285042896,0.1726497994356606,normal_to_melanoma_addon
conch,human,skin,HSPD012,HSDX009;HSDX009_2,1,1.0,train_mean,top50_hvg,24000,12000,166,50,-5.246716354179171e-07,,-0.0891264260048046,0.4083034098148346,0.1948355883359909,0.1345991687187517,0.0,1.0,0.5,0.0,0.1393533333333333,normal_to_melanoma_addon
conch,human,skin,HSPD012,HSDX009;HSDX009_2,1,1.0,train_mean,top200_hvg,24000,12000,166,129,-6.789342330648652e-08,,-0.0835197649304595,0.3445196449756622,0.1246500834822654,0.1471976990495606,0.0,1.0,0.5,0.0,0.1054246666666666,normal_to_melanoma_addon
