encoder,species,organ,target,train_samples,seed,ratio,model,gene_set,n_train,n_test,n_shared_genes,n_genes,pearson_gene_macro,spearman_gene_macro,r2_gene_macro,rmse_log1p,mae_log1p,pearson_cell_macro,sensitivity_gene_macro,specificity_gene_macro,balanced_accuracy_gene_macro,f1_gene_macro,auprc_gene_macro
conch,human,ovary,FFHO026,HOCD032;HOCW023,1,1.0,image,top200_hvg,24000,12000,352,200,0.0387611017570054,0.0368030962312381,-0.3240857114230023,0.5812113285064697,0.2630301713943481,0.18822800840508,0.0031765123639327,0.9988439479997646,0.5010073255285817,0.0044252545622298,0.2320925584456793
conch,human,ovary,FFHO026,HOCD032;HOCW023,1,1.0,image,marker_hvg_overlap,24000,12000,352,186,0.0410898184910341,0.0390917191430656,-0.3169030994025839,0.5938400030136108,0.2701070010662079,0.1875829961367059,0.0033994883703046,0.9987640855927636,0.5010784466723254,0.004726088893434,0.2375669052535599
conch,human,ovary,FFHO026,HOCD032;HOCW023,1,1.0,train_mean,top50_hvg,24000,12000,352,50,6.704335561380503e-07,,-0.4282605070612771,0.7981998920440674,0.5123968124389648,0.2123783835246932,0.0,1.0,0.5,0.0,0.393695
conch,human,ovary,FFHO026,HOCD032;HOCW023,1,1.0,train_mean,top200_hvg,24000,12000,352,200,3.4374217964501336e-08,,-0.2493691294233501,0.5528396368026733,0.2641317248344421,0.3156741777813051,0.0,1.0,0.5,0.0,0.2193182579564489
conch,human,ovary,FFHO026,HOCD032;HOCW023,1,1.0,train_mean,marker_hvg_overlap,24000,12000,352,186,8.474335544406132e-08,,-0.2246279471523037,0.5654342770576477,0.2697592079639435,0.3430753994720274,0.0,1.0,0.5,0.0,0.2240310810810811
conch,human,ovary,FFHO026,HOCD032;HOCW023,2,0.1,image,top50_hvg,2400,12000,352,50,0.0515749114472691,0.0513210816272317,-0.7048211618419736,0.8714975118637085,0.5323026180267334,0.1504426812205211,0.0194365365759652,0.9906340534427542,0.5050352950093598,0.0264818293644534,0.4114320028848215
conch,human,ovary,FFHO026,HOCD032;HOCW023,2,0.1,image,top200_hvg,2400,12000,352,200,0.0233753281100031,0.0219196279001055,-0.3976210966430155,0.5838165283203125,0.2751350402832031,0.1574453379934166,0.0048886544172622,0.9976560507108776,0.5012664632442478,0.0066639154788319,0.2260837293757584
conch,human,ovary,FFHO026,HOCD032;HOCW023,2,0.1,image,marker_hvg_overlap,2400,12000,352,186,0.0237367385380108,0.0222230207966484,-0.3630046901293099,0.5969313383102417,0.2822291254997253,0.1535504649169272,0.0051705826024177,0.9975439269341784,0.501350616732985,0.0069961379674459,0.2308424955693063
conch,human,ovary,FFHO026,HOCD032;HOCW023,2,0.1,train_mean,top50_hvg,2400,12000,352,50,1.8236173445984605e-07,,-0.4265098849515197,0.7965642809867859,0.512385368347168,0.2203193041330284,0.0,1.0,0.5,0.0,0.393695
conch,human,ovary,FFHO026,HOCD032;HOCW023,2,0.1,train_mean,top200_hvg,2400,12000,352,200,-1.8121909923539566e-07,,-0.2507971646154599,0.5522595047950745,0.2640674710273742,0.3183926018969824,0.0,1.0,0.5,0.0,0.2193182579564489
conch,human,ovary,FFHO026,HOCD032;HOCW023,2,0.1,train_mean,marker_hvg_overlap,2400,12000,352,186,-1.8504429822904265e-07,,-0.2248179918644431,0.564836323261261,0.2696637809276581,0.3453212250278836,0.0,1.0,0.5,0.0,0.2240310810810811
conch,human,ovary,FFHO026,HOCD032;HOCW023,2,0.25,image,top50_hvg,6000,12000,352,50,0.0379597785056103,0.0378024514658917,-0.6624152356013656,0.8645768761634827,0.5217246413230896,0.1593212993748186,0.015179337660637,0.9931833039095816,0.5041813207851092,0.0199897326887457,0.4087960285164261
conch,human,ovary,FFHO026,HOCD032;HOCW023,2,0.25,image,top200_hvg,6000,12000,352,200,0.0239953235803881,0.0227229694201878,-0.3475340619243344,0.5803993344306946,0.2674170136451721,0.1747740523426592,0.0038665099359256,0.9982813172721724,0.5010695953057378,0.0051251992462386,0.2273276653207256
conch,human,ovary,FFHO026,HOCD032;HOCW023,2,0.25,image,marker_hvg_overlap,6000,12000,352,186,0.0253488597653985,0.0238962717958757,-0.3342685482842294,0.5928068161010742,0.2741878926753998,0.1762751896032392,0.0041407700083234,0.9981619411927064,0.5011463878740086,0.0054774577928128,0.2325220872271947
conch,human,ovary,FFHO026,HOCD032;HOCW023,2,0.25,train_mean,top50_hvg,6000,12000,352,50,-6.402494225365985e-07,,-0.4277881700458238,0.798257052898407,0.5120646357536316,0.2159687772496412,0.0,1.0,0.5,0.0,0.393695
conch,human,ovary,FFHO026,HOCD032;HOCW023,2,0.25,train_mean,top200_hvg,6000,12000,352,200,6.353665451385489e-08,,-0.2476461270633254,0.5528364181518555,0.2639691829681396,0.3174234724688555,0.0,1.0,0.5,0.0,0.2193182579564489
conch,human,ovary,FFHO026,HOCD032;HOCW023,2,0.25,train_mean,marker_hvg_overlap,6000,12000,352,186,1.286926508854365e-07,,-0.2256251655253338,0.5654405355453491,0.2696124315261841,0.3444256989720864,0.0,1.0,0.5,0.0,0.2240310810810811
conch,human,ovary,FFHO026,HOCD032;HOCW023,2,1.0,image,top50_hvg,24000,12000,352,50,0.0482071712508332,0.0481233930953328,-0.6736962093785405,0.8668615221977234,0.5183686017990112,0.1897585335137951,0.0125943302891391,0.9951952432053348,0.503894786747237,0.0171719845266747,0.411653661501665
conch,human,ovary,FFHO026,HOCD032;HOCW023,2,1.0,image,top200_hvg,24000,12000,352,200,0.0394139332090148,0.037631750468993,-0.3202890077730595,0.5809024572372437,0.262858122587204,0.1878877680477382,0.003164404595261,0.9987988108013336,0.5009785896349842,0.0043145689765514,0.2323601835035558
conch,human,ovary,FFHO026,HOCD032;HOCW023,2,1.0,image,marker_hvg_overlap,24000,12000,352,186,0.0413683318794151,0.0395106624469407,-0.3148933954877508,0.5935741662979126,0.2699956595897674,0.1874604844918756,0.0033864643380578,0.9987169684092566,0.5010482487207093,0.0046071872100391,0.2377144168789677
conch,human,ovary,FFHO026,HOCD032;HOCW023,2,1.0,train_mean,top50_hvg,24000,12000,352,50,6.704335561380503e-07,,-0.4282605070612771,0.7981998920440674,0.5123968124389648,0.2123783835246932,0.0,1.0,0.5,0.0,0.393695
conch,human,ovary,FFHO026,HOCD032;HOCW023,2,1.0,train_mean,top200_hvg,24000,12000,352,200,3.4374217964501336e-08,,-0.2493691294233501,0.5528396368026733,0.2641317248344421,0.3156741777813051,0.0,1.0,0.5,0.0,0.2193182579564489
conch,human,ovary,FFHO026,HOCD032;HOCW023,2,1.0,train_mean,marker_hvg_overlap,24000,12000,352,186,8.474335544406132e-08,,-0.2246279471523037,0.5654342770576477,0.2697592079639435,0.3430753994720274,0.0,1.0,0.5,0.0,0.2240310810810811
conch,human,ovary,HOCD032,FFHO026;HOCW023,0,0.1,image,top50_hvg,2400,12000,352,50,0.0150119983777403,0.0163023469681651,-1.133479523770511,0.4516729712486267,0.3286072015762329,0.1109026916210814,0.1808685971036362,0.8190051711775258,0.4999368841405811,0.1262825344462056,0.2053192833583512
conch,human,ovary,HOCD032,FFHO026;HOCW023,0,0.1,image,top200_hvg,2400,12000,352,200,0.019791877969983,0.0201469549126198,-0.6064169721165672,0.3140850663185119,0.1738981902599334,0.1607258388773201,0.0466502324510576,0.9535362947223064,0.500093263586682,0.0332076482746423,0.117010032399625
conch,human,ovary,HOCD032,FFHO026;HOCW023,0,0.1,image,marker_hvg_overlap,2400,12000,352,186,0.0163277474370339,0.0166216796161411,-0.6288344813460705,0.3084907829761505,0.1727145761251449,0.1617392259532909,0.0500232520829532,0.9501689671346544,0.5000961096088039,0.0354459271229226,0.111328870566682
conch,human,ovary,HOCD032,FFHO026;HOCW023,0,0.1,train_mean,top50_hvg,2400,12000,352,50,9.323490331780704e-07,,-1.9043597183263772,0.4706399440765381,0.3955723345279693,0.1042058509702911,0.3,0.7,0.5,0.113127018411349,0.2025833333333333
conch,human,ovary,HOCD032,FFHO026;HOCW023,0,0.1,train_mean,top200_hvg,2400,12000,352,200,3.646506494137114e-07,,-0.640250559446988,0.3156128227710724,0.1910614818334579,0.1863019020603626,0.075,0.925,0.5,0.0282817546028372,0.1107729166666666
conch,human,ovary,HOCD032,FFHO026;HOCW023,0,0.1,train_mean,marker_hvg_overlap,2400,12000,352,186,2.6346708236357525e-07,,-0.6749686117643461,0.310541421175003,0.1903973668813705,0.1970378686700673,0.0806451612903225,0.9193548387096774,0.5,0.0304104888202551,0.1069977598566308
conch,human,ovary,HOCD032,FFHO026;HOCW023,0,0.25,image,top50_hvg,6000,12000,352,50,0.0124735298193991,0.014614669074672,-1.0212312056869268,0.4438494443893432,0.3120115101337433,0.0827188209240743,0.1446259274709417,0.8570685046676723,0.5008472160693069,0.0989310954900684,0.2040914508715708
conch,human,ovary,HOCD032,FFHO026;HOCW023,0,0.25,image,top200_hvg,6000,12000,352,200,0.0214649784782523,0.0219489998548533,-0.4388717226404697,0.3090513050556183,0.1613968461751938,0.1489865500413013,0.0364855813773538,0.9641152624328108,0.5003004219050823,0.0253204668486749,0.1178856115187976
