sample,encoder,method,seed,split_axis,split_side,gene_set,n_train,n_test,top_k,n_genes,pearson_gene_macro,spearman_gene_macro,r2_gene_macro,rmse_log1p,mae_log1p,pearson_cell_macro,sensitivity_gene_macro,specificity_gene_macro,balanced_accuracy_gene_macro,f1_gene_macro,auprc_gene_macro,ridge_pearson_gene_macro,ridge_f1_gene_macro,pearson_difference_bleep_minus_ridge,f1_difference_bleep_minus_ridge
HCCD035,conch,bleep_conch_adapter,3,y,low,top50_hvg,8952,2400,50,50,0.3981903005437925,0.390623988864146,-0.2633141713496297,0.5368025302886963,0.4128173887729645,0.5114333301788463,0.7243847654628344,0.5764036931616304,0.6503942293122325,0.5893563100482241,0.582684597352254,0.3956020828522741,0.5863993932982899,0.002588217691518402,0.0029569167499341464
HCCW027,conch,bleep_conch_adapter,0,x,high,top50_hvg,9001,2400,50,50,0.114981816636864,0.086490508871031,-0.1402409143163822,0.1820622533559799,0.1001975834369659,0.2162146003045866,0.0316044319094563,0.985007023990258,0.5083057279498572,0.0277077056168936,0.0953132187286549,0.1274107765033841,0.0246157309611703,-0.012428959866520081,0.003091974655723303
HCCW027,conch,bleep_conch_adapter,1,y,high,top50_hvg,8950,2400,50,50,0.1568667099368758,0.1480088824773916,-0.0373050554003566,0.1803401261568069,0.0759492442011833,0.221942714952277,0.0188097206882492,0.9966353302749924,0.5077225254816208,0.0230546813753464,0.1136481661926978,0.173891251347959,0.0290602287475186,-0.0170245414110832,-0.006005547372172199
HCCW027,conch,bleep_conch_adapter,2,x,low,top50_hvg,8918,2400,50,50,0.1397120921243913,0.1435707839274893,-0.0469518770370632,0.2355260699987411,0.0871584862470626,0.1505799870880588,0.0064100493337312,0.9986513682904624,0.5025307088120968,0.0094163614163614,0.140380606935928,0.2016140887700021,0.0272245131704282,-0.061901996645610774,-0.017808151754066803
HCCW027,conch,bleep_conch_adapter,3,y,low,top50_hvg,8942,2400,50,50,0.1784865876194089,0.1651079177576577,-0.02099744658306,0.2223534882068634,0.0963692814111709,0.1507483323890791,0.0095072539711085,0.9982344686901424,0.5038708613306255,0.0144322412466462,0.148941698783706,0.2110546032339334,0.0216202230107704,-0.03256801561452452,-0.007187981764124199
HHDX011,conch,bleep_conch_adapter,0,x,high,top50_hvg,8912,2400,50,50,0.212602051878348,0.1835349752080719,0.009463198124431,0.4366485476493835,0.3255638480186462,0.7357791557843796,0.3193935134366943,0.7572248522828683,0.5383091828597812,0.2775793498683098,0.3815894946119489,0.2811482472717762,0.2884742112558487,-0.06854619539342818,-0.010894861387538923
HHDX011,conch,bleep_conch_adapter,1,y,high,top50_hvg,8948,2400,50,50,0.2178572858474217,0.2204476594095595,-0.0178649329883046,0.511151134967804,0.3393518626689911,0.4748478750244298,0.1505706214797077,0.8895255555414636,0.5200480885105857,0.1485153819229011,0.3880770305472655,0.2998006016016006,0.3082241668658037,-0.0819433157541789,-0.15970878494290258
HHDX011,conch,bleep_conch_adapter,2,x,low,top50_hvg,8928,2400,50,50,0.2601563197374343,0.2275279479892643,0.0187981107400264,0.4618290364742279,0.3463554680347442,0.7000943805900169,0.298256543630035,0.7831749040628242,0.5407157238464297,0.252303279846775,0.4262324590518829,0.3127944980561733,0.321515505213057,-0.052638178318739015,-0.06921222536628202
HHDX011,conch,bleep_conch_adapter,3,y,low,top50_hvg,8903,2400,50,50,0.2118550921138376,0.1874259582590451,-0.0327770116762258,0.46774622797966,0.3514778912067413,0.7355974501720326,0.3071114512285051,0.7553670451203108,0.5312392481744079,0.2839579190331378,0.4080654817820239,0.2758506479882635,0.2989181730667938,-0.06399555587442587,-0.014960254033656029
HKPD015,conch,bleep_conch_adapter,0,x,high,top50_hvg,8853,2400,50,50,0.327564992904663,0.2997439424494486,0.0195559753547422,0.5874303579330444,0.4141110479831695,0.3983929255631924,0.521009299038824,0.6878512866775758,0.6044302928581998,0.4224437432487772,0.4588576214658177,0.3447626410424709,0.4311446995972665,-0.017197648137807886,-0.008700956348489275
