sample,encoder,seed,split_axis,split_side,model,gene_set,n_train_cells,n_test_cells,coordinate_units_per_micron,n_genes,pearson_gene_macro,spearman_gene_macro,r2_gene_macro,rmse_log1p,mae_log1p,pearson_cell_macro,sensitivity_gene_macro,specificity_gene_macro,balanced_accuracy_gene_macro,f1_gene_macro,auprc_gene_macro
HLCX022,conch,0,x,high,train_mean,top200_hvg,112823,32451,1.0,200,-1.7926166696435878e-07,,-0.0053169366509837,0.3414689302444458,0.1982051730155944,0.3297937222072515,0.045,0.955,0.5,0.0280605659111823,0.1377372037841669
HLCX022,conch,0,x,high,pseudo_spot_8um,top50_hvg,112823,32451,1.0,50,0.3940677073597908,0.3853976202903049,0.1636691411957144,0.4529326558113098,0.3197947740554809,0.454428313819809,0.3540500782077909,0.8796897794101767,0.6168699288089838,0.3749217277008959,0.5005529107348824
HLCX022,conch,0,x,high,pseudo_spot_8um,top200_hvg,112823,32451,1.0,200,0.2475990585237741,0.229125002137596,0.0698573828543885,0.3117212951183319,0.1729007512331009,0.4581040799262937,0.0926157420535467,0.969407173605174,0.5310114578293603,0.100596221541082,0.262090700017934
HLCX022,conch,0,x,high,pseudo_spot_16um,top50_hvg,112823,32451,1.0,50,0.3940467044711113,0.385408742117529,0.163772729858756,0.452881783246994,0.3198908567428589,0.4544241141266538,0.3550352192015231,0.8791737017909953,0.6171044604962591,0.3756593208026662,0.5005476539595295
HLCX022,conch,0,x,high,pseudo_spot_16um,top200_hvg,112823,32451,1.0,200,0.2475913806818425,0.2291246014895308,0.0698981614202784,0.3116984367370605,0.173001691699028,0.4581232372834631,0.0929342912581081,0.969263384550522,0.531098837904315,0.1008829309606845,0.26208862160003
HLCX022,conch,0,x,high,pseudo_spot_55um,top50_hvg,112823,32451,1.0,50,0.3897612860798836,0.3798436530589633,0.160709786824882,0.4538126587867737,0.3221308887004852,0.4480555922001031,0.3739870476439009,0.8669879654106477,0.6204875065272742,0.3915814795132442,0.4980831992299003
HLCX022,conch,0,x,high,pseudo_spot_55um,top200_hvg,112823,32451,1.0,200,0.2451691102609038,0.2252564931288227,0.0693784185331605,0.3120389282703399,0.1747032105922699,0.4546742996014917,0.0985377632200842,0.9661334844601184,0.5323356238401012,0.1065093911600908,0.260372376339382
HLCX022,conch,1,y,high,cell_image,top50_hvg,118805,32451,1.0,50,0.3593189853429794,0.3494104122208371,0.0807422093208879,0.4578282535076141,0.3371455371379852,0.4062659608876328,0.3888244615847601,0.8158074094541599,0.6023159355194599,0.3764298569796605,0.4699755158486872
HLCX022,conch,1,y,high,cell_image,top200_hvg,118805,32451,1.0,200,0.2197497750619368,0.2007252558739483,0.0247460427627083,0.3033365309238434,0.1735957711935043,0.4340974812073986,0.1022136956028437,0.9534973213351284,0.527855508468986,0.1022359849079257,0.2332419766640392
HLCX022,conch,1,y,high,train_mean,top50_hvg,118805,32451,1.0,50,1.962779701045747e-06,,-0.0565091541147558,0.5088209509849548,0.3941084146499634,0.2496942427920898,0.18,0.82,0.5,0.1130000829935405,0.2714018057995131
HLCX022,conch,1,y,high,train_mean,top200_hvg,118805,32451,1.0,200,1.5700742283897284e-06,,-0.0248265647083991,0.3257439434528351,0.191599354147911,0.3327184209054231,0.045,0.955,0.5,0.0282500207483851,0.1260292440910911
HLCX022,conch,1,y,high,pseudo_spot_8um,top50_hvg,118805,32451,1.0,50,0.3593185254931449,0.3494070634194767,0.0807346719596535,0.4578291177749634,0.3371516168117523,0.4062654225281779,0.3888489114053805,0.8157949558598486,0.6023219336326145,0.3764468302671834,0.469982496305879
HLCX022,conch,1,y,high,pseudo_spot_8um,top200_hvg,118805,32451,1.0,200,0.2197480581818672,0.2007219133420098,0.0247403521418164,0.3033371269702911,0.1735995560884475,0.4340933693537079,0.1022175017577873,0.9534942135355656,0.5278558576466764,0.1022365583709068,0.2332440368185084
HLCX022,conch,1,y,high,pseudo_spot_16um,top50_hvg,118805,32451,1.0,50,0.3593625369668007,0.3494272151786247,0.0806370885763317,0.4578392505645752,0.3372423946857452,0.4063265510458368,0.3896862189830071,0.8153310037945188,0.602508611388763,0.3771136747180664,0.4700296059546605
HLCX022,conch,1,y,high,pseudo_spot_16um,top200_hvg,118805,32451,1.0,200,0.2197670821662177,0.2007091919823267,0.0246012910622812,0.3033441305160522,0.1736729443073272,0.4341142382488364,0.1025181254098346,0.9533694970723028,0.5279438112410687,0.1025400057087028,0.2332620685476947
