encoder,model,pearson_gene_macro_mean,pearson_gene_macro_std,spearman_gene_macro_mean,spearman_gene_macro_std,r2_gene_macro_mean,r2_gene_macro_std,pearson_cell_macro_mean,pearson_cell_macro_std,f1_gene_macro_mean,f1_gene_macro_std,auprc_gene_macro_mean,auprc_gene_macro_std
phikon,train_mean,1.7718493329432765e-07,5.907011829868657e-07,,,-0.038889124312886394,0.04320584987825391,0.6441518175453027,0.13375343223441113,0.14040652806693688,0.01314465608820386,0.3111791666666667,0.020308894124386894
resnet50,coordinate,0.010168023882833947,0.10212868010415876,0.004580836401080698,0.09649530251514606,-0.22974661889144044,0.2882430385940056,0.6168804799673444,0.1276279466566515,0.16907825596330373,0.04517886650993971,0.31548881107204385,0.04929812736683032
resnet50,image,0.22086695455116567,0.01326092804806586,0.2072525707041608,0.019799629220578357,0.025133995844516872,0.055049990648037804,0.6723235166652564,0.1110403775397044,0.2655826140064078,0.019086458178557378,0.39842291927784235,0.01576551565815831
resnet50,spatial_knn,0.020688948079405252,0.04896425451095451,0.015460810913292426,0.04315300332643759,-0.1854390699230134,0.08921260352518279,0.6189459351201138,0.13272658379232607,0.2406537949153091,0.02445706787005023,0.31908292141175315,0.027179142829501016
resnet50,train_mean,1.7718493329432765e-07,5.907011829868657e-07,,,-0.038889124312886394,0.04320584987825391,0.6441518175453027,0.13375343223441113,0.14040652806693688,0.01314465608820386,0.3111791666666667,0.020308894124386894
uni,coordinate,0.010168023882833947,0.10212868010415876,0.004580836401080698,0.09649530251514606,-0.22974661889144044,0.2882430385940056,0.6168804799673444,0.1276279466566515,0.16907825596330373,0.04517886650993971,0.31548881107204385,0.04929812736683032
uni,image,0.29519827771699053,0.024826705984334476,0.26331358459012527,0.027228900407790232,0.08011664374265814,0.05533294644713416,0.696119358658867,0.09964622688378029,0.3023626128954358,0.018514215526024634,0.43843278153185283,0.016894199913029217
uni,spatial_knn,0.020688948079405252,0.04896425451095451,0.015460810913292426,0.04315300332643759,-0.1854390699230134,0.08921260352518279,0.6189459351201138,0.13272658379232607,0.2406537949153091,0.02445706787005023,0.31908292141175315,0.027179142829501016
uni,train_mean,1.7718493329432765e-07,5.907011829868657e-07,,,-0.038889124312886394,0.04320584987825391,0.6441518175453027,0.13375343223441113,0.14040652806693688,0.01314465608820386,0.3111791666666667,0.020308894124386894
uni2,coordinate,0.01016802826314235,0.10212868548111445,0.0045808279153709205,0.0964953020833477,-0.22974660996333113,0.2882430470329137,0.6168804811246005,0.12762794770980085,0.16907825596330373,0.04517886650993971,0.3154887844416635,0.049298118967691595
uni2,image,0.29539840415585783,0.026821864779747986,0.2627392477698205,0.026965079189907305,0.0867047961052776,0.046698323015745925,0.6979592370091262,0.09976155720415443,0.2989982976934441,0.0223152878461015,0.44015904483448026,0.01672868454209095
uni2,spatial_knn,0.020688948079405252,0.04896425451095451,0.015460810913292426,0.04315300332643759,-0.1854390699230134,0.08921260352518279,0.6189459351201138,0.13272658379232607,0.2406537949153091,0.02445706787005023,0.31908292141175315,0.027179142829501016
uni2,train_mean,1.7718493329432765e-07,5.907011829868657e-07,,,-0.038889124312886394,0.04320584987825391,0.6441518175453027,0.13375343223441113,0.14040652806693688,0.01314465608820386,0.3111791666666667,0.020308894124386894
