sample,species,organ,condition,model,pearson_gene_macro,spearman_gene_macro,r2_gene_macro,pearson_cell_macro,f1_gene_macro,auprc_gene_macro
HBCA041,human,breast,breast IDC,image,0.494332612529397,0.487448225623593,0.2377861329761799,0.5552808453363605,0.7078677311342152,0.7338484008233652
HBCA041,human,breast,breast IDC,spatial_knn,0.013905673288463701,0.013600421902511324,-0.2525956296175718,0.21944684297958383,0.5646727271300316,0.49749516776599506
HBCA041,human,breast,breast IDC,train_mean,7.285424473813427e-07,,-0.036132488431867324,0.31947482803132354,0.5737160600009735,0.48857083333333334
HBCD036,human,brain,glioblastoma,coordinate,0.020150934946959728,0.017870077832002174,-0.14285440108622421,0.5611350143314642,0.6968978679092626,0.6341706955076131
HBCD036,human,brain,glioblastoma,image,0.3315007489174604,0.27851451740686667,0.0707551566936308,0.6104249701050142,0.7680483508445589,0.7290568802764359
HBCD036,human,brain,glioblastoma,spatial_knn,0.0447034915631229,0.040739467189517625,-0.136526620585937,0.5601186260180518,0.6980940348077791,0.6454735565670708
HBCD036,human,brain,glioblastoma,train_mean,6.063430478420172e-07,,-0.04392188783346222,0.5955278614736754,0.7273043484040694,0.6327791666666667
HBCH024,human,breast,breast cancer,coordinate,0.0702467980641813,0.06435961588507605,-0.068424877399957,0.08146336792498522,0.002117132092198575,0.0835108120091703
HBCH024,human,breast,breast cancer,image,0.2866005103476345,0.22435347668290112,0.0658794542617397,0.22177866340650526,0.07565762731174623,0.2337984812920367
HBCH024,human,breast,breast cancer,spatial_knn,0.044091309335867926,0.03978583168827055,-0.24687260155566032,0.0527342778809528,0.0374029035655843,0.07625627333280291
HBCH024,human,breast,breast cancer,train_mean,-5.159892315226288e-08,,-0.0406719436972963,0.0996096715192167,0.0,0.0588166666666666
HBES040,human,breast,breast IDC,coordinate,0.04077023498050038,0.0351287538866527,-0.05935965228316488,0.35717609808669193,0.55789405323839,0.5173324197076297
HBES040,human,breast,breast IDC,image,0.4193236746639013,0.41356572422838267,0.16290568559081292,0.5220870590373361,0.6785303724684215,0.6884129081485446
HBES040,human,breast,breast IDC,spatial_knn,0.0458841518488043,0.043754990320634055,-0.19159016810706814,0.2860498135416234,0.570666396081277,0.521165517062629
HBES040,human,breast,breast IDC,train_mean,5.254345176508579e-07,,-0.04432345447136168,0.3533456245163919,0.49301410776792975,0.5020458333333333
HCCD035,human,colorectal,colorectal cancer,coordinate,0.05646088827837953,0.052269129129266075,-0.17398069070361089,0.41612207138612867,0.43746961638200155,0.45060486901221286
HCCD035,human,colorectal,colorectal cancer,image,0.43076839915476733,0.418796731834576,0.07078692581970245,0.5320252820922446,0.6234628267015437,0.6301069530521788
HCCD035,human,colorectal,colorectal cancer,spatial_knn,0.08285125251386485,0.0849774011675791,-0.23406234871545162,0.39021851461774587,0.5062689160540339,0.4614795039529437
HCCD035,human,colorectal,colorectal cancer,train_mean,3.668144016177876e-07,,-0.21014604805574888,0.40192172741217413,0.3781520273942728,0.4219791666666666
HCCW027,human,cervix,cervical cancer,coordinate,0.0168651798579958,0.017600049204390875,-0.2556524773327328,0.16300304131064722,0.0021312139402259248,0.07448949016966322
HCCW027,human,cervix,cervical cancer,image,0.17849267996381965,0.1571245671411215,-0.08440064701583652,0.24722867465370027,0.025630173972471873,0.1516592014020206
HCCW027,human,cervix,cervical cancer,spatial_knn,0.014370792893751,0.013890003470509126,-0.1708525508199818,0.12197528455071446,0.013254552362775575,0.07082514811487242
HCCW027,human,cervix,cervical cancer,train_mean,1.0469054445572121e-08,,-0.0362024368257607,0.18650312115299106,0.0,0.06526666666666665
HHDX011,human,heart,non-diseased,coordinate,0.010168023882833947,0.004580836401080698,-0.22974661889144044,0.6168804799673444,0.16907825596330373,0.31548881107204385
HHDX011,human,heart,non-diseased,image,0.2923984987294534,0.26642855854794256,0.06886226432688997,0.6880709511701152,0.3042830141003758,0.43751503558731397
HHDX011,human,heart,non-diseased,spatial_knn,0.020688948079405252,0.015460810913292426,-0.1854390699230134,0.6189459351201138,0.2406537949153091,0.31908292141175315
HHDX011,human,heart,non-diseased,train_mean,1.7718493329432765e-07,,-0.038889124312886394,0.6441518175453027,0.14040652806693688,0.3111791666666667
HKPD015,human,kidney,mixed kidney regions,coordinate,0.018586902746465052,0.0129059838396417,-0.08527736036612617,0.264087668704311,0.19044690099885886,0.29879454354919655
HKPD015,human,kidney,mixed kidney regions,image,0.40184172917157407,0.36100501255986833,0.1573298370017437,0.4711352767025015,0.46044227052676284,0.5191012629589691
HKPD015,human,kidney,mixed kidney regions,spatial_knn,0.01699624440783735,0.01374819697708625,-0.14486508502624923,0.23187299164257136,0.2717562237943475,0.2970918276618583
HKPD015,human,kidney,mixed kidney regions,train_mean,2.0517958238874813e-07,,-0.013205329511750925,0.2951330015697569,0.17685994891112616,0.2881833333333333
HLCD033,human,lung,lung cancer,coordinate,0.06540198542614233,0.0550318786672409,-0.3759929016880051,0.3348314708703527,0.4336486491410815,0.4159902984479983
HLCD033,human,lung,lung cancer,image,0.36840741761960083,0.31818165535475457,0.010097111769969136,0.4775107909003282,0.5704229172058293,0.5690868113625027
HLCD033,human,lung,lung cancer,spatial_knn,0.0812202745635295,0.08024818655955797,-0.23067841007839884,0.3107365765374719,0.44653307090070266,0.42639010912910746
HLCD033,human,lung,lung cancer,train_mean,-3.331066520106951e-07,,-0.31363795961819046,0.32343318972904683,0.4299980108908406,0.39246041666666664
HLCX022,human,lung,lung cancer,coordinate,0.0755567430055089,0.07157582675687067,-0.27984532993723404,0.17357761171219985,0.1021526096015488,0.27006099225168223
HLCX022,human,lung,lung cancer,image,0.3183553593466058,0.30907401424183556,0.03259337309289547,0.3730314484799746,0.3566292094497278,0.4145894405483434
HLCX022,human,lung,lung cancer,spatial_knn,0.04560944197721253,0.04833484306687547,-0.4565559045458213,0.1913966405437661,0.2679031842690991,0.26204137822147594
HLCX022,human,lung,lung cancer,train_mean,-5.36750483209551e-08,,-0.09905405582753471,0.2271522547621968,0.10297027808213435,0.23989374999999996
HLDX010,human,liver,liver cancer,coordinate,0.0025533745871143755,-0.002105067888488575,-0.030313395821895,0.5632024640839707,0.4307287504428744,0.45122959897585424
