sample,encoder,method,seed,split_axis,split_side,gene_set,n_train,n_test,top_k,n_genes,pearson_gene_macro,spearman_gene_macro,r2_gene_macro,rmse_log1p,mae_log1p,pearson_cell_macro,sensitivity_gene_macro,specificity_gene_macro,balanced_accuracy_gene_macro,f1_gene_macro,auprc_gene_macro
FFMB028,conch,bleep_conch_adapter,3,y,low,marker_hvg_overlap,8889,2400,50,151,0.2677939140441402,0.23939835380945,-0.0386832010720637,0.544427216053009,0.3874776661396026,0.4346325327353356,0.2064259967158876,0.8796214208749545,0.5430237087954211,0.2395805761859216,0.498014359158147
FFMC016,conch,bleep_conch_adapter,0,x,high,top50_hvg,8968,2400,50,50,0.6128268218040467,0.5837747489977564,0.322104866001755,0.7240892648696899,0.5532498955726624,0.7510947059303813,0.8588454275589713,0.476764961574156,0.6678051945665636,0.7544966744006396,0.7931910031523692
FFMC016,conch,bleep_conch_adapter,0,x,high,top200_hvg,8968,2400,50,200,0.3429012115066871,0.315774904377509,0.0546419337316183,0.4726519882678985,0.2974689900875091,0.7514201782082982,0.3933291789870696,0.7939738745853069,0.5936515267861883,0.3537115417251749,0.4046197287522827
FFMC016,conch,bleep_conch_adapter,0,x,high,marker_hvg_overlap,8968,2400,50,157,0.3452002634561271,0.3175026152221346,0.0487455485031234,0.4766175448894501,0.3028246164321899,0.760456795502047,0.4067372382214904,0.7790710335079362,0.5929041358647134,0.3622900821761285,0.4085022877136949
FFMC016,conch,bleep_conch_adapter,1,y,high,top50_hvg,8837,2400,50,50,0.5576235771179199,0.5325183547379794,0.2816298207081854,0.729606568813324,0.5352567434310913,0.6849498587474018,0.7190757311630898,0.623333582853598,0.6712046570083438,0.6993891945936404,0.7564510944250057
FFMC016,conch,bleep_conch_adapter,1,y,high,top200_hvg,8837,2400,50,200,0.3124022437445819,0.2810410923346717,-0.0975428589610965,0.4834809601306915,0.2852383553981781,0.6763561817512486,0.3330339241662138,0.8435813112394979,0.5883076177028559,0.3093603397287661,0.3806606662514483
FFMC016,conch,bleep_conch_adapter,1,y,high,marker_hvg_overlap,8837,2400,50,158,0.3121864371402543,0.2803041672989089,-0.0889125684371271,0.4891051352024078,0.2875948846340179,0.690956665995396,0.3308289913039193,0.8386285978464986,0.5847287945752089,0.3054700084757531,0.38406904906605
FFMC016,conch,bleep_conch_adapter,2,x,low,top50_hvg,9133,2400,50,50,0.6045733451843261,0.5912247780069105,0.3463067061360925,0.7061356902122498,0.5472728610038757,0.717147054617429,0.8698697857776739,0.4491464260579166,0.6595081059177953,0.7528465949780138,0.7960472193842559
FFMC016,conch,bleep_conch_adapter,2,x,low,top200_hvg,9133,2400,50,200,0.3647647739760578,0.322908461502055,0.0990865480358479,0.4744739234447479,0.2972929775714874,0.7228270449590248,0.3898286661573953,0.7943765709127983,0.5921026185350969,0.3517934313371574,0.4197803966824437
FFMC016,conch,bleep_conch_adapter,2,x,low,marker_hvg_overlap,9133,2400,50,155,0.3700461751991702,0.3272530626042658,0.0996684402910872,0.4814866483211517,0.3041107952594757,0.7320680528537681,0.4049711009345476,0.7796822235103196,0.5923266622224336,0.3598147553026663,0.4277495989037833
FFMC016,conch,bleep_conch_adapter,3,y,low,top50_hvg,8719,2400,50,50,0.6075631827116013,0.5825321909658094,0.3230260999058373,0.7042125463485718,0.5486783981323242,0.7244157776002732,0.8712194464338073,0.4315714696807112,0.6513954580572593,0.736013329028335,0.7790059130851893
FFMC016,conch,bleep_conch_adapter,3,y,low,top200_hvg,8719,2400,50,200,0.3306337883172091,0.3084906964063056,-0.0355285863324024,0.4730282723903656,0.2903986275196075,0.7186447185660834,0.3606932525355815,0.7947140056879743,0.5777036291117779,0.312142921872268,0.3897397281737694
FFMC016,conch,bleep_conch_adapter,3,y,low,marker_hvg_overlap,8719,2400,50,155,0.3381689250514271,0.3133095412465634,-0.0627635573790382,0.479482352733612,0.2968266606330871,0.727423903037452,0.3749208663701349,0.7816350745418632,0.5782779704559989,0.3211040045884378,0.3976998609877217
HBCA041,conch,bleep_conch_adapter,0,x,high,top50_hvg,8813,2400,50,50,0.4760549384355545,0.4718004547128524,0.1606488374061882,0.655166506767273,0.5021874308586121,0.5176422182501982,0.7848133967064697,0.5639776760693828,0.6743955363879263,0.7089890748562359,0.7366386377551334
HBCA041,conch,bleep_conch_adapter,0,x,high,top200_hvg,8813,2400,50,200,0.3145056694559753,0.2965473268980679,0.0305769147341197,0.4499101936817169,0.294452965259552,0.572279020813103,0.375089977726963,0.8206118569873854,0.5978509173571741,0.3526969189077175,0.421031778029854
HBCA041,conch,bleep_conch_adapter,0,x,high,marker_hvg_overlap,8813,2400,50,180,0.3111449539454446,0.2945181705702221,0.0275703362384875,0.4478352963924408,0.2943747937679291,0.5711704577840523,0.3707787262579604,0.8217049985273154,0.5962418623926379,0.3491429077252009,0.4181213680514635
HBCA041,conch,bleep_conch_adapter,1,y,high,top50_hvg,8879,2400,50,50,0.4619977959990501,0.4539478584492799,0.1786782745830714,0.6329672336578369,0.4824970662593841,0.5003788944480306,0.7509280869236877,0.5781514818334819,0.6645397843785849,0.6770470804736345,0.6962837533330046
HBCA041,conch,bleep_conch_adapter,1,y,high,top200_hvg,8879,2400,50,200,0.2899267393932678,0.2793711519960932,-0.0214364045103138,0.4512923955917358,0.2972429692745209,0.515458108037415,0.3532736976571914,0.825016150009721,0.5891449238334563,0.3214245836702358,0.3952421537585681
