cell_type,n_cells,model,pseudobulk_pearson,pseudobulk_rmse_log1p,sample,encoder,seed,ratio,n_genes,species,organ,condition
macrophage.,302,coordinate,0.6545863151550293,0.4178534150123596,FFHO026,conch,2,1.0,200,human,ovary,ovarian adenocarcinoma
macrophage.,302,image,0.7563281655311584,0.2182926535606384,FFHO026,conch,2,1.0,200,human,ovary,ovarian adenocarcinoma
macrophage.,302,spatial_knn,0.7217286825180054,0.3243559896945953,FFHO026,conch,2,1.0,200,human,ovary,ovarian adenocarcinoma
neutrophil.,28,train_mean,0.8241996765136719,0.2128855437040329,FFHO026,conch,2,1.0,200,human,ovary,ovarian adenocarcinoma
neutrophil.,28,coordinate,0.8340241312980652,0.3588829934597015,FFHO026,conch,2,1.0,200,human,ovary,ovarian adenocarcinoma
neutrophil.,28,image,0.8694904446601868,0.1522634029388427,FFHO026,conch,2,1.0,200,human,ovary,ovarian adenocarcinoma
neutrophil.,28,spatial_knn,0.8845382332801819,0.2517555058002472,FFHO026,conch,2,1.0,200,human,ovary,ovarian adenocarcinoma
smooth muscle cell.,67,train_mean,0.6431314945220947,0.3293572962284088,FFHO026,conch,2,1.0,200,human,ovary,ovarian adenocarcinoma
smooth muscle cell.,67,coordinate,0.6633408665657043,0.4249142706394195,FFHO026,conch,2,1.0,200,human,ovary,ovarian adenocarcinoma
smooth muscle cell.,67,image,0.8884472250938416,0.2417803406715393,FFHO026,conch,2,1.0,200,human,ovary,ovarian adenocarcinoma
smooth muscle cell.,67,spatial_knn,0.6724587678909302,0.3465629518032074,FFHO026,conch,2,1.0,200,human,ovary,ovarian adenocarcinoma
stromal cell.,112,train_mean,0.6447675824165344,0.347542256116867,FFHO026,conch,2,1.0,200,human,ovary,ovarian adenocarcinoma
stromal cell.,112,coordinate,0.645863950252533,0.5193338990211487,FFHO026,conch,2,1.0,200,human,ovary,ovarian adenocarcinoma
stromal cell.,112,image,0.9170018434524536,0.0929196327924728,FFHO026,conch,2,1.0,200,human,ovary,ovarian adenocarcinoma
stromal cell.,112,spatial_knn,0.7156956195831299,0.4132193028926849,FFHO026,conch,2,1.0,200,human,ovary,ovarian adenocarcinoma
T cell.,29,train_mean,0.7682947516441345,0.2269766479730606,FFHO026,conch,3,1.0,200,human,ovary,ovarian adenocarcinoma
T cell.,29,coordinate,0.7476879954338074,0.2197675555944442,FFHO026,conch,3,1.0,200,human,ovary,ovarian adenocarcinoma
T cell.,29,image,0.783161461353302,0.2238719463348388,FFHO026,conch,3,1.0,200,human,ovary,ovarian adenocarcinoma
T cell.,29,spatial_knn,0.7524114847183228,0.2502491772174835,FFHO026,conch,3,1.0,200,human,ovary,ovarian adenocarcinoma
cultured cell.,302,train_mean,0.907767415046692,0.244865745306015,FFHO026,conch,3,1.0,200,human,ovary,ovarian adenocarcinoma
cultured cell.,302,coordinate,0.9529014229774476,0.2716433107852936,FFHO026,conch,3,1.0,200,human,ovary,ovarian adenocarcinoma
cultured cell.,302,image,0.9732386469841005,0.1069269031286239,FFHO026,conch,3,1.0,200,human,ovary,ovarian adenocarcinoma
cultured cell.,302,spatial_knn,0.9581332802772522,0.2139726281166076,FFHO026,conch,3,1.0,200,human,ovary,ovarian adenocarcinoma
endothelial cell of vascular tree.,142,train_mean,0.9677315354347228,0.1517428755760193,FFHO026,conch,3,1.0,200,human,ovary,ovarian adenocarcinoma
endothelial cell of vascular tree.,142,coordinate,0.9415536522865297,0.1213331371545791,FFHO026,conch,3,1.0,200,human,ovary,ovarian adenocarcinoma
endothelial cell of vascular tree.,142,image,0.9745688438415528,0.1085294187068939,FFHO026,conch,3,1.0,200,human,ovary,ovarian adenocarcinoma
endothelial cell of vascular tree.,142,spatial_knn,0.9245054125785828,0.2292240560054779,FFHO026,conch,3,1.0,200,human,ovary,ovarian adenocarcinoma
endothelial cell.,278,train_mean,0.9679443836212158,0.1265895664691925,FFHO026,conch,3,1.0,200,human,ovary,ovarian adenocarcinoma
endothelial cell.,278,coordinate,0.9338433742523192,0.1167054921388626,FFHO026,conch,3,1.0,200,human,ovary,ovarian adenocarcinoma
endothelial cell.,278,image,0.9757422208786012,0.0926376581192016,FFHO026,conch,3,1.0,200,human,ovary,ovarian adenocarcinoma
endothelial cell.,278,spatial_knn,0.9231840372085572,0.2187904119491577,FFHO026,conch,3,1.0,200,human,ovary,ovarian adenocarcinoma
epithelial cell of lower respiratory tract.,630,train_mean,0.9267469644546508,0.2181136608123779,FFHO026,conch,3,1.0,200,human,ovary,ovarian adenocarcinoma
epithelial cell of lower respiratory tract.,630,coordinate,0.960246741771698,0.2459562122821808,FFHO026,conch,3,1.0,200,human,ovary,ovarian adenocarcinoma
epithelial cell of lower respiratory tract.,630,image,0.9786421656608582,0.0946550071239471,FFHO026,conch,3,1.0,200,human,ovary,ovarian adenocarcinoma
epithelial cell of lower respiratory tract.,630,spatial_knn,0.973959743976593,0.1500158011913299,FFHO026,conch,3,1.0,200,human,ovary,ovarian adenocarcinoma
epithelial cell of proximal tubule.,37,train_mean,0.9005147218704224,0.2724546194076538,FFHO026,conch,3,1.0,200,human,ovary,ovarian adenocarcinoma
