sample,encoder,seed,split_axis,split_side,ratio,model,gene_set,n_train,n_test,n_genes,pearson_gene_macro,spearman_gene_macro,r2_gene_macro,rmse_log1p,mae_log1p,pearson_cell_macro,sensitivity_gene_macro,specificity_gene_macro,balanced_accuracy_gene_macro,f1_gene_macro,auprc_gene_macro
HHDX011,resnet50,1,y,high,0.1,image,top200_hvg,895,2400,200,0.0543909646446662,0.0565267132482012,-0.1591684950049966,0.3118038773536682,0.1682610511779785,0.4742512690324088,0.0765566004482056,0.9445871125391192,0.5105718564936624,0.0761118707157739,0.1404327119958202
HHDX011,resnet50,1,y,high,0.1,image,marker_hvg_overlap,895,2400,170,0.055014389091772,0.0565795339781415,-0.1568234538714237,0.3149648904800415,0.1698869466781616,0.4834213058142289,0.0767530846865292,0.9434197169896902,0.5100864008381097,0.0752522516970044,0.1393777709985586
HHDX011,resnet50,1,y,high,0.1,spatial_knn,top50_hvg,895,2400,50,0.006905203894712,0.0054730459341094,-0.2410999921709299,0.6321285367012024,0.4255121052265167,0.4344203215009374,0.2722658041919016,0.730240333722252,0.5012530689570768,0.2213708497410783,0.2915033245517599
HHDX011,resnet50,1,y,high,0.1,spatial_knn,top200_hvg,895,2400,200,0.0011426969226256,0.0002291199369157,-0.1425966131803579,0.3641272783279419,0.1652020066976547,0.4618349454890341,0.0691949787672706,0.931192399453983,0.5001936891106269,0.0567783829837725,0.1181777501782816
HHDX011,resnet50,1,y,high,0.1,spatial_knn,marker_hvg_overlap,895,2400,170,0.001008628582562,0.0002276307327868,-0.1401560923933763,0.3729073107242584,0.165858507156372,0.4745303789672827,0.0632109721404508,0.9379972014832096,0.5006040868118302,0.0525719556107949,0.1183318841289958
HHDX011,resnet50,1,y,high,0.25,train_mean,top50_hvg,2237,2400,50,-4.08612421196608e-07,,-0.0916673749608162,0.5874961614608765,0.4034759104251861,0.4474776723713197,0.18,0.82,0.5,0.1210999915740229,0.2861083333333333
HHDX011,resnet50,1,y,high,0.25,train_mean,top200_hvg,2237,2400,200,-1.355088770027546e-07,,-0.0305491050888213,0.340872049331665,0.1575439274311065,0.4770860140124994,0.045,0.955,0.5,0.0302749978935057,0.1162083333333333
HHDX011,resnet50,1,y,high,0.25,train_mean,marker_hvg_overlap,2237,2400,170,-1.3559346661290765e-07,,-0.0326855279363585,0.3500197529792785,0.1593561470508575,0.4875561168140338,0.0411764705882352,0.9588235294117649,0.5,0.0281657714983354,0.1163480392156862
HHDX011,resnet50,1,y,high,0.25,coordinate,top50_hvg,2237,2400,50,-0.099160010414198,-0.1017353016318107,-0.2080599275231361,0.643487811088562,0.4346476793289184,0.4390976552335685,0.2652853485427753,0.7191184164853689,0.4922018825140721,0.1685387993124602,0.2521406243314902
HHDX011,resnet50,1,y,high,0.25,coordinate,top200_hvg,2237,2400,200,-0.0289257272879331,-0.0296190987162604,-0.1090043373042863,0.3665270805358886,0.1731866151094436,0.4690856702484677,0.06633257309075,0.9296568419730046,0.4979947075318773,0.0421549427430948,0.109810412391024
HHDX011,resnet50,1,y,high,0.25,coordinate,marker_hvg_overlap,2237,2400,170,-0.0287148393593858,-0.0290520377621859,-0.0965882835622966,0.376873254776001,0.1727844625711441,0.4790242601357599,0.0552606072626617,0.941176900102064,0.4982187536823629,0.0372518441839456,0.1102481868974701
HHDX011,resnet50,1,y,high,0.25,image,top50_hvg,2237,2400,50,0.1916792580299079,0.1978857220434628,-0.0111745002050884,0.4802394211292267,0.3403038382530212,0.495648845609357,0.2525035360315146,0.8409893426501753,0.546746439340845,0.2551933384580221,0.3739026070809854
HHDX011,resnet50,1,y,high,0.25,image,top200_hvg,2237,2400,200,0.0714548113662749,0.0735091711707446,-0.0734186284214956,0.2980461418628692,0.1532222479581833,0.504092752912837,0.0641885025182812,0.9597846919033262,0.5119865972108038,0.0653973775462551,0.1475210832981615
HHDX011,resnet50,1,y,high,0.25,image,marker_hvg_overlap,2237,2400,170,0.0706724691848434,0.0722344328161338,-0.0648596015368478,0.3011604249477386,0.1548290103673935,0.5122009034637871,0.0632953385065605,0.9593878771551176,0.511341607830839,0.0638400465345061,0.1461002765308552
HHDX011,resnet50,1,y,high,0.25,spatial_knn,top50_hvg,2237,2400,50,-0.0042111286474391,-0.0081317509455022,-0.2240700984001159,0.6346858143806458,0.4173030853271484,0.4330542017596416,0.2547274211400669,0.7448085133046699,0.4997679672223684,0.2175118155854843,0.2866951197971004
HHDX011,resnet50,1,y,high,0.25,spatial_knn,top200_hvg,2237,2400,200,-0.002618167044954,-0.0028937565401104,-0.2339968529203906,0.3661408722400665,0.162177175283432,0.4576689576274232,0.0658961612102456,0.9345628146706058,0.5002294879404258,0.0561873668283712,0.1168871027480463
HHDX011,resnet50,1,y,high,0.25,spatial_knn,marker_hvg_overlap,2237,2400,170,-0.0020997285753,-0.0023339391952584,-0.1979232365210705,0.3758132457733154,0.1632247120141983,0.4693472385651587,0.0619513015379019,0.9388727586070325,0.5004120300724673,0.0529534896205943,0.117001400943925
HHDX011,resnet50,1,y,high,1.0,train_mean,top50_hvg,8948,2400,50,8.572514751037375e-07,,-0.0970968907089172,0.5906395316123962,0.4066059291362762,0.4468192111681907,0.18,0.82,0.5,0.1210999915740229,0.2861083333333333
